OrganizationIdentifier,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,HUCEightDigitCode,LatitudeMeasure,LongitudeMeasure,StateCode,CountyCode,ProviderName
21IOWA_WQX,21IOWA_WQX-14000578,Buffalo Creek,River/Stream,7080102,42.253,-91.4815,19,113,STORET
21IOWA_WQX,21IOWA_WQX-14000592,Luke Rossiter Wildlife Area Wetland 65,Wetland Undifferentiated,7100003,43.345243,-93.831496,19,189,STORET
21IOWA_WQX,21IOWA_WQX-14000593,Crumbacher Wildlife Area Wetland 82,Wetland Undifferentiated,7080205,42.431117,-91.978169,19,19,STORET
21IOWA_WQX,21IOWA_WQX-14000594,Cortright Wildlife Area Wetland 83,Wetland Undifferentiated,7080102,42.521337,-92.003322,19,19,STORET
21IOWA_WQX,21IOWA_WQX-14000595,Cooper's Cove Wetland 116,Wetland Undifferentiated,7100004,42.626572,-94.461154,19,151,STORET
21IOWA_WQX,21IOWA_WQX-14000596,Lylah's Marsh Wetland 193,Wetland Undifferentiated,7080102,43.286651,-92.469365,19,89,STORET
21IOWA_WQX,21IOWA_WQX-14000598,Goodale Park Wetland 463,Wetland Undifferentiated,7080102,43.1879,-92.523973,19,37,STORET
21IOWA_WQX,21IOWA_WQX-14000599,Becker Wildlife Area Wetland 510,Wetland Undifferentiated,7100004,42.541992,-94.212075,19,187,STORET
21IOWA_WQX,21IOWA_WQX-14000600,Richmond Springs Backbone SP Wetland 622,Wetland Undifferentiated,7060006,42.638304,-91.55771,19,55,STORET
21IOWA_WQX,21IOWA_WQX-14000601,Millard Preserve Wetland 801,Wetland Undifferentiated,7080102,42.227713,-91.53187,19,113,STORET
21IOWA_WQX,21IOWA_WQX-14000605,Prairie Rose Station 40,Lake,10240002,41.60424,-95.2157,19,165,STORET
21IOWA_WQX,21IOWA_WQX-14000606,Prairie Rose Station 50,Lake,10240002,41.60759,-95.2133,19,165,STORET
21IOWA_WQX,21IOWA_WQX-14000607,Prairie Rose Station 60,Lake,10240002,41.6036,-95.211,19,165,STORET
21IOWA_WQX,21IOWA_WQX-14000608,Prairie Rose Station 70,Lake,10240002,41.60251,-95.2082,19,165,STORET
21IOWA_WQX,21IOWA_WQX-15280001,Maquoketa below Backbone,River/Stream,7060006,42.5772,-91.5482,19,55,STORET
21IOWA_WQX,21IOWA_WQX-21040001,Honey Creek Beach,Reservoir,10280201,40.867537,-92.919321,19,7,STORET
21IOWA_WQX,21IOWA_WQX-21070001,George Wyth Beach,Lake,7080205,42.535979,-92.404035,19,13,STORET
21IOWA_WQX,21IOWA_WQX-21130001,North Twin Lake West Beach,Lake,7100006,42.479031,-94.637146,19,25,STORET
21IOWA_WQX,21IOWA_WQX-21130002,North Twin Lake East Beach,Lake,7100006,42.4799,-94.63332,19,25,STORET
21IOWA_WQX,21IOWA_WQX-21150001,Lake Anita Beach,Lake,10240003,41.42685,-94.77944,19,29,STORET
21IOWA_WQX,21IOWA_WQX-21170001,Clear Lake State Park Beach,Lake,7080203,43.111086,-93.39614,19,33,STORET
21IOWA_WQX,21IOWA_WQX-21170002,McIntosh Woods Beach,Lake,7080203,43.120303,-93.458755,19,33,STORET
21IOWA_WQX,21IOWA_WQX-21260001,Lake Wapello Beach,Lake,7100009,40.817854,-92.580321,19,51,STORET
21IOWA_WQX,21IOWA_WQX-21270001,Nine Eagles Beach,Lake,10280102,40.599994,-93.766472,19,53,STORET
21IOWA_WQX,21IOWA_WQX-21280001,Backbone Beach,Lake,7060006,42.601452,-91.534197,19,55,STORET
21IOWA_WQX,21IOWA_WQX-21300001,Gull Point Beach,Lake,10230003,43.371222,-95.160845,19,59,STORET
21IOWA_WQX,21IOWA_WQX-21300002,Pikes Point Beach,Lake,10230003,43.415404,-95.164587,19,59,STORET
21IOWA_WQX,21IOWA_WQX-21300003,Triboji Beach,Lake,10230003,43.423886,-95.174717,19,59,STORET
